Resort Name,Package Title,Longitude,Latitude,Has Valid Coordinates,Source,Price,Link
"Aman Tioman Beach Resort","3D2N Aman Tioman Beach Resort (Snorkeling Package), Pulau Tioman",0,0,false,"amitravel","RM 540","https://www.amitravel.my/package-pakej/3d2n-aman-tioman-beach-resort-snorkeling-package-pulau-tioman/"
"Aman Tioman Beach Resort","4D3N Aman Tioman Beach Resort (Open Water Free-Diver Course Package), Pulau Tioman",0,0,false,"amitravel","RM 2232","https://www.amitravel.my/package-pakej/4d3n-aman-tioman-beach-resort-open-water-free-diver-course-package-pulau-tioman/"
"Aman Tioman Beach Resort","3D2N Aman Tioman Beach Resort (Dive Course), Pulau Tioman",0,0,false,"amitravel","RM 864","https://www.amitravel.my/package-pakej/4d3n-aman-tioman-beach-resort-diving-package-pulau-tioman/"
"Aman Tioman Beach Resort","(2025 Promo) 3d2n Aman Tioman Resort Snorkeling Package",104.145678,2.825234,true,"holidaygogogopackages","RM 560","https://www.holidaygogogo.com/3d2n-aman-tioman-beach-resort-snorkeling-package/"
"Aman Tioman Beach Resort","(2025 Promo) 3d2n Aman Tioman Snorkeling & Spa Package",104.145678,2.825234,true,"holidaygogogopackages","RM 780","https://www.holidaygogogo.com/3d2n-aman-tioman-snorkeling-spa-package/"
"Aman Tioman Beach Resort","(2025 Promo) 4d3n Aman Tioman Resort Snorkeling Package",104.145678,2.825234,true,"holidaygogogopackages","RM 840","https://www.holidaygogogo.com/4d3n-aman-tioman-beach-resort-snorkeling-package/"
"Aman Tioman Beach Resort","(2025 Promo) 3d2n Aman Tioman Resort Diving Package",104.145678,2.825234,true,"holidaygogogopackages","RM 960","https://www.holidaygogogo.com/3d2n-aman-tioman-beach-resort-diving-package/"
"Aman Tioman Beach Resort","(2025 Promo) 3d2n Aman Tioman Resort Honeymoon Package",104.145678,2.825234,true,"holidaygogogopackages","RM 1,090","https://www.holidaygogogo.com/3d2n-aman-tioman-beach-resort-honeymoon-package/"
"Aman Tioman Beach Resort","(2025 Promo) 4d3n Aman Tioman Resort Diving Package",104.145678,2.825234,true,"holidaygogogopackages","RM 1,440","https://www.holidaygogogo.com/4d3n-aman-tioman-beach-resort-diving-package/"
"Aman Tioman Beach Resort","(2025 Promo) 3d2n Aman Tioman Resort Team Building Package",104.145678,2.825234,true,"holidaygogogopackages","RM 610","https://www.holidaygogogo.com/3d2n-aman-tioman-beach-resort-team-building-package/"
"Aman Tioman Beach Resort","(HRDC) 3D2N Aman Tioman Beach Resort Teambuilding Tour Package",104.145678,2.825234,true,"holidaygogogopackages","RM 1,250","https://www.holidaygogogo.com/hrdc-3d2n-aman-tioman-beach-resort-teambuilding-tour-package/"
"Tioman Paya Beach Resort","(2025 Promo) 3d2n Tioman Paya Beach Resort Snorkeling Package",104.151234,2.819876,true,"holidaygogogopackages","RM 369","https://www.holidaygogogo.com/3d2n-snorkeling-package-paya-beach-resort/"
"Paya Beach Spa & Dive Resort","(2025 Promo) 4d3n Tioman Paya Beach Resort Snorkeling Package",104.151234,2.819876,true,"holidaygogogopackages","RM 456","https://www.holidaygogogo.com/4d3n-tioman-paya-beach-resort-snorkeling-package/"
"Paya Beach Spa & Dive Resort","(2025 Promo) 3d2n Tioman Paya Beach Resort Spa Package",104.151234,2.819876,true,"holidaygogogopackages","RM 329","https://www.holidaygogogo.com/3d2n-tioman-spa-retreat-package/"
"Paya Beach Spa & Dive Resort","(2025 Promo) 3d2n Paya Beach Resort Romantic Getaway Package",104.151234,2.819876,true,"holidaygogogopackages","RM 489","https://www.holidaygogogo.com/3d2n-romantic-honeymoon-spa-package-paya-beach-resort/"
"Paya Beach Spa & Dive Resort","(2025 Promo) 3d2n Tioman Paya Beach Resort Team Bonding Package",104.151234,2.819876,true,"holidaygogogopackages","RM 419","https://www.holidaygogogo.com/3d2n-tioman-paya-beach-resort-team-bonding-package/"
"Paya Beach Spa & Dive Resort","(2025 Promo) 3d2n Tioman Paya Beach Resort Seafood Lovers Package",104.151234,2.819876,true,"holidaygogogopackages","RM 329","https://www.holidaygogogo.com/3d2n-tioman-paya-beach-resort-seafood-lovers-package/"
"Barat Tioman Resort","(2025 Promo) 3d2n Barat Tioman Resort Snorkeling Package",104.148765,2.821543,true,"holidaygogogopackages","RM 560","https://www.holidaygogogo.com/3d2n-the-barat-tioman-beach-resort-snorkeling-package/"
"The Barat Beach Resort","(2025 Promo) 3d2n Barat Tioman Resort Honeymoon Package",102.719234,5.918765,true,"holidaygogogopackages","RM 836","https://www.holidaygogogo.com/3d2n-the-barat-tioman-beach-resort-honeymoon-package/"
"The Barat Beach Resort","(2025 Promo) 4d3n Barat Tioman Resort Snorkeling Package",102.719234,5.918765,true,"holidaygogogopackages","RM 715","https://www.holidaygogogo.com/4d3n-the-barat-tioman-beach-resort-snorkeling-package/"
"The Barat Beach Resort","(2025 Promo) 3d2n Barat Tioman Resort Diving Package",102.719234,5.918765,true,"holidaygogogopackages","RM 677","https://www.holidaygogogo.com/3d2n-the-barat-tioman-beach-resort-diving-package/"
"The Barat Beach Resort","(2025 Promo) 4D3N Barat Tioman Resort Diving Package",102.719234,5.918765,true,"holidaygogogopackages","RM 1,129","https://www.holidaygogogo.com/4d3n-the-barat-tioman-beach-resort-diving-package/"
"The Barat Beach Resort","(HRDC) 3D2N The Barat Tioman Beach Resort Teambuilding Tour Package",102.719234,5.918765,true,"holidaygogogopackages","RM 1,315","https://www.holidaygogogo.com/hrdc-3d2n-the-barat-tioman-beach-resort-teambuilding-tour-package/"
"Sun Beach Resort","(2025 Promo) 3D2N Tioman Sun Beach Resort Honeymoon Package",104.146543,2.824321,true,"holidaygogogopackages","RM 672","https://www.holidaygogogo.com/3d2n-tioman-sun-beach-resort-honeymoon-package/"
"Tunamaya Beach & Spa Resort","(2020 Promo) 3d2n Tunamaya Beach Resort Snorkeling Package",104.15270701091619,2.7204043154262854,true,"holidaygogogopackages","RM 0","https://www.holidaygogogo.com/3d2n-tunamaya-beach-resort-snorkeling-package/"
"Tunamaya Beach & Spa Resort","(2025 Promo) 3D2N Tioman Tunamaya Beach Resort Discovery Package",104.15270701091619,2.7204043154262854,true,"holidaygogogopackages","RM 730","https://www.holidaygogogo.com/3d2n-tunamaya-beach-resort-leisure-package/"
"Berjaya Tioman Resort","(2025 Promo) 3d2n Berjaya Tioman Resort, Aqua Snorkelling Escape Package",104.164321,2.813456,true,"holidaygogogopackages","RM 822","https://www.holidaygogogo.com/3d2n-berjaya-tioman-resort-snorkeling-package/"
"Debloc Villa","(2025 Promo) 3D2N Paya Debloc Village Snorkeling Package",104.149876,2.820654,true,"holidaygogogopackages","RM 480","https://www.holidaygogogo.com/3d2n-paya-debloc-village-snorkeling-package/"
